,-1,0,1
tanh_tanh,0.9589294943450931,0.9452101104548482,0.9544505046949744
tanh_sigmoid,0.9594811077621676,0.9458305885986446,0.9529180906245891
tanh_relu,0.9629201704784569,0.9560263939716236,0.9622623036572735
tanh_elu,0.9580217320383055,0.9494741586851984,0.9562420309946917
sigmoid_tanh,0.9500000347801649,0.9371299825194891,0.946141175472193
sigmoid_sigmoid,0.9502911447613073,0.9350198699082707,0.9454681792792298
sigmoid_relu,0.9514893214459367,0.9387803013492618,0.9468979918628326
sigmoid_elu,0.9422350151398059,0.9392463555604094,0.9423595281305452
relu_tanh,0.9612823725080882,0.9484258845117666,0.9569007673200004
relu_sigmoid,0.9625433273905624,0.9472854429010553,0.9545979725946211
relu_relu,0.9689889614712288,0.7706065521657262,0.7317012856835797
relu_elu,0.950817368657924,0.9399878686784442,0.9462500373886773
elu_tanh,0.9579493892950826,0.9476391571792172,0.9552654039611828
elu_sigmoid,0.9530874700281928,0.9362413493034577,0.9471108464727
elu_relu,0.9640053116268006,0.9488822002767111,0.9623769043009848
elu_elu,0.964786821934598,0.9593572903747284,0.9628450453220331
